Run Date,Account,Action,Symbol,Security Description,Security Type,Quantity,Price ($),Commission ($),Fees ($),Accrued Interest ($),Amount ($),Settlement Date
04/22/2024,Z12345678,YOU BOUGHT,SPY240531C00515000,SPDR S&P 500 ETF TRUST 05/31/2024 515.00 C,Options,20,4.35,1.30,0.20,,"-8,720.50",04/23/2024
05/10/2024,Z12345678,YOU SOLD,SPY240531C00515000,SPDR S&P 500 ETF TRUST 05/31/2024 515.00 C,Options,-20,7.80,1.30,0.20,,"15,578.50",05/13/2024
05/15/2024,Z12345678,YOU BOUGHT,META240621C00480000,META PLATFORMS INC 06/21/2024 480.00 C,Options,5,12.40,0.33,0.05,,"-6,218.38",05/16/2024
05/20/2024,Z12345678,YOU BOUGHT,META240621C00480000,META PLATFORMS INC 06/21/2024 480.00 C,Options,5,9.10,0.33,0.05,,"-4,558.38",05/21/2024
05/28/2024,Z12345678,YOU BOUGHT,META240621C00480000,META PLATFORMS INC 06/21/2024 480.00 C,Options,5,6.80,0.33,0.05,,"-3,418.38",05/29/2024
06/14/2024,Z12345678,YOU SOLD,META240621C00480000,META PLATFORMS INC 06/21/2024 480.00 C,Options,-15,3.20,0.98,0.15,,"4,786.87",06/17/2024
06/17/2024,Z12345678,YOU BOUGHT,AMZN240719C00190000,AMAZON.COM INC 07/19/2024 190.00 C,Options,8,5.60,0.52,0.08,,"-4,484.60",06/18/2024
06/28/2024,Z12345678,YOU SOLD,AMZN240719C00190000,AMAZON.COM INC 07/19/2024 190.00 C,Options,-8,9.30,0.52,0.08,,"7,439.40",07/01/2024
07/08/2024,Z12345678,YOU BOUGHT,TSLA240816C00230000,TESLA INC 08/16/2024 230.00 C,Options,10,4.75,0.65,0.10,,"-4,760.75",07/09/2024
07/15/2024,Z12345678,YOU BOUGHT,TSLA240816C00230000,TESLA INC 08/16/2024 230.00 C,Options,10,3.10,0.65,0.10,,"-3,110.75",07/16/2024
07/22/2024,Z12345678,YOU BOUGHT,TSLA240816C00230000,TESLA INC 08/16/2024 230.00 C,Options,10,1.85,0.65,0.10,,"-1,860.75",07/23/2024
08/09/2024,Z12345678,YOU SOLD,TSLA240816C00230000,TESLA INC 08/16/2024 230.00 C,Options,-30,0.45,1.95,0.30,,"1,323.75",08/12/2024
08/15/2024,Z12345678,YOU BOUGHT,NVDA240920C00115000,NVIDIA CORP 09/20/2024 115.00 C,Options,15,3.80,0.98,0.15,,"-5,713.13",08/16/2024
08/22/2024,Z12345678,YOU BOUGHT,NVDA240920C00115000,NVIDIA CORP 09/20/2024 115.00 C,Options,10,2.50,0.65,0.10,,"-2,510.75",08/23/2024
09/10/2024,Z12345678,YOU SOLD,NVDA240920C00115000,NVIDIA CORP 09/20/2024 115.00 C,Options,-25,5.20,1.63,0.25,,"12,988.12",09/11/2024
09/23/2024,Z12345678,YOU BOUGHT,AAPL241018C00225000,APPLE INC 10/18/2024 225.00 C,Options,8,3.15,0.52,0.08,,"-2,520.60",09/24/2024
10/07/2024,Z12345678,YOU BOUGHT,AAPL241018C00225000,APPLE INC 10/18/2024 225.00 C,Options,8,1.90,0.52,0.08,,"-1,520.60",10/08/2024
10/14/2024,Z12345678,YOU BOUGHT,AAPL241018C00225000,APPLE INC 10/18/2024 225.00 C,Options,4,0.85,0.26,0.04,,"-344.30",10/15/2024
10/18/2024,Z12345678,EXPIRED,AAPL241018C00225000,APPLE INC 10/18/2024 225.00 C,Options,-20,0.00,0.00,0.00,,0.00,10/21/2024
10/21/2024,Z12345678,YOU BOUGHT,MSFT241115C00430000,MICROSOFT CORP 11/15/2024 430.00 C,Options,6,8.40,0.39,0.06,,"-5,054.45",10/22/2024
10/28/2024,Z12345678,YOU SOLD,MSFT241115C00430000,MICROSOFT CORP 11/15/2024 430.00 C,Options,-6,12.60,0.39,0.06,,"7,554.55",10/29/2024
11/04/2024,Z12345678,YOU BOUGHT,SPY241220P00565000,SPDR S&P 500 ETF TRUST 12/20/2024 565.00 P,Options,10,5.20,0.65,0.10,,"-5,210.75",11/05/2024
11/11/2024,Z12345678,YOU BOUGHT,SPY241220P00565000,SPDR S&P 500 ETF TRUST 12/20/2024 565.00 P,Options,10,3.80,0.65,0.10,,"-3,810.75",11/12/2024
11/18/2024,Z12345678,YOU BOUGHT,SPY241220P00565000,SPDR S&P 500 ETF TRUST 12/20/2024 565.00 P,Options,10,2.70,0.65,0.10,,"-2,710.75",11/19/2024
12/13/2024,Z12345678,YOU SOLD,SPY241220P00565000,SPDR S&P 500 ETF TRUST 12/20/2024 565.00 P,Options,-30,1.05,1.95,0.30,,"3,118.75",12/16/2024
